index	prediction
209	entailment
210	entailment
211	entailment
212	entailment
213	entailment
214	entailment
215	entailment
216	entailment
217	entailment
218	entailment
219	entailment
220	entailment
221	entailment
222	entailment
223	entailment
224	entailment
225	entailment
226	entailment
227	entailment
228	entailment
229	entailment
230	entailment
231	entailment
232	entailment
233	neutral
234	entailment
235	neutral
236	entailment
237	neutral
238	entailment
239	neutral
240	entailment
241	neutral
242	entailment
243	neutral
244	entailment
245	neutral
246	entailment
247	neutral
248	entailment
249	neutral
250	entailment
251	neutral
252	entailment
253	neutral
254	entailment
255	neutral
256	entailment
257	neutral
258	entailment
259	neutral
260	entailment
261	neutral
262	entailment
263	neutral
264	entailment
265	neutral
266	entailment
267	neutral
268	entailment
269	neutral
270	entailment
271	neutral
272	entailment
273	neutral
274	entailment
275	neutral
276	entailment
277	neutral
278	entailment
279	neutral
280	entailment
281	neutral
282	entailment
283	neutral
284	entailment
285	neutral
286	entailment
287	neutral
288	entailment
289	neutral
290	entailment
291	neutral
292	entailment
293	neutral
294	neutral
295	neutral
296	contradiction
297	contradiction
298	entailment
299	neutral
300	contradiction
301	contradiction
302	entailment
303	neutral
304	neutral
305	neutral
306	entailment
307	entailment
308	contradiction
309	contradiction
310	entailment
311	entailment
312	entailment
313	neutral
314	neutral
315	contradiction
316	neutral
317	contradiction
318	neutral
319	contradiction
320	contradiction
321	contradiction
322	neutral
323	neutral
324	entailment
325	contradiction
326	entailment
327	neutral
328	neutral
329	neutral
330	neutral
331	contradiction
332	entailment
333	entailment
334	neutral
335	neutral
336	entailment
337	neutral
338	entailment
339	neutral
340	contradiction
341	neutral
342	entailment
343	neutral
344	entailment
345	neutral
346	contradiction
347	contradiction
348	contradiction
349	neutral
350	neutral
351	contradiction
352	neutral
353	contradiction
354	entailment
355	neutral
356	contradiction
357	neutral
358	entailment
359	neutral
360	contradiction
361	neutral
362	contradiction
363	contradiction
364	neutral
365	neutral
366	entailment
367	neutral
368	contradiction
369	neutral
370	entailment
371	neutral
372	contradiction
373	neutral
374	entailment
375	contradiction
376	contradiction
377	contradiction
378	neutral
379	contradiction
380	entailment
381	neutral
382	contradiction
383	contradiction
384	contradiction
385	contradiction
386	entailment
387	neutral
388	contradiction
389	neutral
390	entailment
391	neutral
392	contradiction
393	contradiction
394	entailment
395	neutral
396	contradiction
397	contradiction
398	neutral
399	neutral
400	neutral
401	neutral
402	entailment
403	neutral
404	contradiction
405	contradiction
406	neutral
407	contradiction
408	neutral
409	neutral
410	entailment
411	neutral
412	contradiction
413	contradiction
414	contradiction
415	neutral
416	entailment
417	entailment
418	entailment
419	entailment
420	contradiction
421	contradiction
422	contradiction
423	contradiction
424	entailment
425	contradiction
426	entailment
427	entailment
428	entailment
429	neutral
430	entailment
431	neutral
432	entailment
433	neutral
434	entailment
435	neutral
436	entailment
437	neutral
438	entailment
439	neutral
440	entailment
441	neutral
442	entailment
443	neutral
444	entailment
445	neutral
446	entailment
447	neutral
448	entailment
449	entailment
450	contradiction
451	contradiction
452	entailment
453	entailment
454	contradiction
455	contradiction
456	entailment
457	entailment
458	entailment
459	entailment
460	entailment
461	neutral
462	neutral
463	neutral
464	contradiction
465	neutral
466	contradiction
467	neutral
468	entailment
469	neutral
470	contradiction
471	neutral
472	entailment
473	neutral
474	neutral
475	neutral
476	entailment
477	entailment
478	entailment
479	neutral
480	entailment
481	neutral
482	entailment
483	entailment
484	entailment
485	entailment
486	entailment
487	entailment
488	entailment
489	neutral
490	neutral
491	entailment
492	entailment
493	entailment
494	entailment
495	entailment
496	entailment
497	entailment
498	entailment
499	neutral
500	entailment
501	entailment
502	contradiction
503	contradiction
504	entailment
505	neutral
506	entailment
507	entailment
508	entailment
509	entailment
510	entailment
511	entailment
512	entailment
513	entailment
514	contradiction
515	contradiction
516	entailment
517	neutral
518	entailment
519	neutral
520	entailment
521	entailment
522	contradiction
523	entailment
524	entailment
525	entailment
526	entailment
527	neutral
528	entailment
529	neutral
530	entailment
531	entailment
532	contradiction
533	contradiction
534	entailment
535	entailment
536	entailment
537	entailment
538	neutral
539	entailment
540	neutral
541	entailment
542	contradiction
543	contradiction
544	contradiction
545	contradiction
546	entailment
547	entailment
548	entailment
549	entailment
550	contradiction
551	contradiction
552	entailment
553	entailment
554	entailment
555	entailment
556	contradiction
557	contradiction
558	neutral
559	contradiction
560	neutral
561	entailment
562	entailment
563	neutral
564	entailment
565	neutral
566	entailment
567	contradiction
568	entailment
569	neutral
570	neutral
571	contradiction
572	entailment
573	entailment
574	entailment
575	entailment
576	entailment
577	entailment
578	entailment
579	entailment
580	entailment
581	neutral
582	entailment
583	neutral
584	contradiction
585	contradiction
586	entailment
587	entailment
588	neutral
589	entailment
590	neutral
591	entailment
592	contradiction
593	entailment
594	neutral
595	entailment
596	entailment
597	entailment
598	entailment
599	entailment
600	contradiction
601	contradiction
602	contradiction
603	entailment
604	entailment
605	entailment
606	entailment
607	neutral
608	entailment
609	neutral
610	entailment
611	neutral
612	entailment
613	neutral
614	entailment
615	neutral
616	entailment
617	neutral
618	entailment
619	neutral
620	entailment
621	neutral
622	entailment
623	neutral
624	entailment
625	neutral
626	entailment
627	neutral
628	entailment
629	entailment
630	entailment
631	neutral
632	entailment
633	neutral
634	entailment
635	entailment
636	neutral
637	entailment
638	entailment
639	neutral
640	contradiction
641	neutral
642	entailment
643	neutral
644	contradiction
645	neutral
646	neutral
647	neutral
648	entailment
649	neutral
650	neutral
651	entailment
652	contradiction
653	neutral
654	entailment
655	neutral
656	contradiction
657	contradiction
658	contradiction
659	contradiction
660	contradiction
661	contradiction
662	contradiction
663	entailment
664	entailment
665	neutral
666	contradiction
667	contradiction
668	neutral
669	entailment
670	entailment
671	entailment
672	entailment
673	neutral
674	entailment
675	neutral
676	neutral
677	neutral
678	contradiction
679	neutral
680	neutral
681	contradiction
682	neutral
683	neutral
684	neutral
685	neutral
686	neutral
687	neutral
688	entailment
689	neutral
690	entailment
691	neutral
692	contradiction
693	contradiction
694	entailment
695	entailment
696	contradiction
697	contradiction
698	entailment
699	neutral
700	entailment
701	entailment
702	entailment
703	neutral
704	neutral
705	neutral
706	contradiction
707	contradiction
708	contradiction
709	entailment
710	contradiction
711	neutral
712	neutral
713	neutral
714	entailment
715	entailment
716	neutral
717	entailment
718	entailment
719	neutral
720	neutral
721	contradiction
722	entailment
723	entailment
724	entailment
725	neutral
726	neutral
727	neutral
728	contradiction
729	contradiction
730	neutral
731	neutral
732	neutral
733	neutral
734	neutral
735	neutral
736	entailment
737	neutral
738	neutral
739	neutral
740	entailment
741	neutral
742	entailment
743	neutral
744	entailment
745	neutral
746	contradiction
747	contradiction
748	entailment
749	entailment
750	entailment
751	entailment
752	entailment
753	neutral
754	entailment
755	neutral
756	entailment
757	contradiction
758	neutral
759	entailment
760	neutral
761	entailment
762	contradiction
763	neutral
764	contradiction
765	contradiction
766	entailment
767	neutral
768	entailment
769	entailment
770	entailment
771	entailment
772	entailment
773	entailment
774	entailment
775	neutral
776	entailment
777	entailment
778	contradiction
779	entailment
780	entailment
781	entailment
782	entailment
783	entailment
784	entailment
785	entailment
786	entailment
787	entailment
788	entailment
789	neutral
790	entailment
791	neutral
792	entailment
793	neutral
794	entailment
795	entailment
796	entailment
797	entailment
798	contradiction
799	contradiction
800	entailment
801	entailment
802	entailment
803	entailment
804	entailment
805	entailment
806	entailment
807	entailment
808	entailment
809	entailment
810	entailment
811	entailment
812	entailment
813	neutral
814	entailment
815	neutral
816	entailment
817	entailment
818	neutral
819	entailment
820	entailment
821	neutral
822	entailment
823	entailment
824	entailment
825	neutral
826	contradiction
827	contradiction
828	contradiction
829	neutral
830	entailment
831	neutral
832	entailment
833	neutral
834	entailment
835	entailment
836	entailment
837	entailment
838	entailment
839	neutral
840	neutral
841	entailment
842	entailment
843	entailment
844	entailment
845	entailment
846	entailment
847	neutral
848	entailment
849	neutral
850	contradiction
851	contradiction
852	entailment
853	neutral
854	entailment
855	neutral
856	entailment
857	neutral
858	entailment
859	entailment
860	entailment
861	entailment
862	neutral
863	entailment
864	entailment
865	entailment
866	entailment
867	entailment
868	entailment
869	neutral
870	entailment
871	neutral
872	entailment
873	neutral
874	entailment
875	entailment
876	entailment
877	entailment
878	entailment
879	neutral
880	entailment
881	neutral
882	neutral
883	entailment
884	entailment
885	neutral
886	entailment
887	entailment
888	entailment
889	entailment
890	entailment
891	entailment
892	neutral
893	entailment
894	contradiction
895	contradiction
896	neutral
897	entailment
898	entailment
899	neutral
900	contradiction
901	entailment
902	entailment
903	entailment
904	entailment
905	entailment
906	contradiction
907	entailment
908	contradiction
909	contradiction
910	neutral
911	contradiction
912	entailment
913	entailment
914	entailment
915	entailment
916	contradiction
917	contradiction
918	neutral
919	entailment
920	neutral
921	entailment
922	contradiction
923	entailment
924	contradiction
925	entailment
926	contradiction
927	entailment
928	neutral
929	neutral
930	neutral
931	neutral
932	entailment
933	neutral
934	entailment
935	neutral
936	contradiction
937	neutral
938	contradiction
939	contradiction
940	neutral
941	neutral
942	neutral
943	neutral
944	neutral
945	entailment
946	neutral
947	entailment
948	contradiction
949	contradiction
950	entailment
951	neutral
952	contradiction
953	contradiction
954	contradiction
955	contradiction
956	entailment
957	entailment
958	entailment
959	neutral
960	neutral
961	entailment
962	entailment
963	entailment
964	neutral
965	contradiction
966	neutral
967	entailment
968	entailment
969	neutral
970	entailment
971	neutral
972	contradiction
973	neutral
974	entailment
975	neutral
976	entailment
977	neutral
978	entailment
979	neutral
980	entailment
981	neutral
982	entailment
983	neutral
984	entailment
985	entailment
986	neutral
987	neutral
988	entailment
989	entailment
990	entailment
991	neutral
992	entailment
993	neutral
994	entailment
995	entailment
996	entailment
997	entailment
998	entailment
999	neutral
1000	entailment
1001	neutral
1002	entailment
1003	entailment
1004	entailment
1005	entailment
1006	entailment
1007	entailment
1008	entailment
1009	neutral
1010	contradiction
1011	neutral
1012	contradiction
1013	neutral
1014	contradiction
1015	neutral
1016	entailment
1017	entailment
1018	entailment
1019	neutral
1020	contradiction
1021	contradiction
1022	neutral
1023	neutral
1024	neutral
1025	neutral
1026	neutral
1027	neutral
1028	contradiction
1029	neutral
1030	entailment
1031	entailment
1032	neutral
1033	neutral
1034	neutral
1035	neutral
1036	neutral
1037	neutral
1038	contradiction
1039	contradiction
1040	contradiction
1041	contradiction
1042	neutral
1043	neutral
1044	entailment
1045	neutral
1046	contradiction
1047	entailment
1048	entailment
1049	entailment
1050	contradiction
1051	neutral
1052	contradiction
1053	contradiction
1054	entailment
1055	entailment
1056	entailment
1057	entailment
1058	entailment
1059	entailment
1060	entailment
1061	entailment
1062	entailment
1063	entailment
1064	contradiction
1065	contradiction
1066	contradiction
1067	contradiction
1068	entailment
1069	neutral
1070	neutral
1071	contradiction
1072	contradiction
1073	contradiction
1074	entailment
1075	entailment
1076	contradiction
1077	entailment
1078	entailment
1079	neutral
1080	entailment
1081	entailment
1082	contradiction
1083	contradiction
1084	entailment
1085	neutral
1086	entailment
1087	entailment
1088	entailment
1089	entailment
1090	neutral
1091	neutral
1092	neutral
1093	neutral
1094	contradiction
1095	neutral
1096	neutral
1097	neutral
1098	entailment
1099	entailment
1100	contradiction
1101	contradiction
1102	neutral
1103	neutral
